# time[s], delta_E_avg[eV], delta_E_cx_avg[eV], delta_E_el_avg[eV]
  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000
  1.000000E-008,  2.427689E-002,  2.427185E-002,  5.035006E-006
  2.000000E-008,  2.511566E-002,  1.577615E-002,  9.339508E-003
  3.000000E-008,  2.455309E-002,  1.238602E-002,  1.216707E-002
  4.000000E-008,  1.865945E-002,  1.311591E-002,  5.543539E-003
  5.000000E-008, -7.533942E-003,  1.011015E-003, -8.544958E-003
  6.000000E-008,  8.285220E-003,  2.268860E-003,  6.016360E-003
  7.000000E-008,  1.956270E-002,  1.113034E-002,  8.432366E-003
  8.000000E-008,  6.281562E-003,  4.912860E-003,  1.368702E-003
  9.000000E-008,  9.647212E-004,  9.818006E-006,  9.549032E-004
  1.000000E-007,  5.534230E-003,  5.738218E-003, -2.039883E-004
  1.100000E-007, -1.037633E-003, -1.470483E-003,  4.328502E-004
  1.200000E-007,  1.047478E-002,  1.381892E-002, -3.344140E-003
  1.300000E-007,  1.829151E-002,  6.647035E-003,  1.164447E-002
  1.400000E-007,  2.018702E-003, -8.224275E-004,  2.841130E-003
  1.500000E-007, -1.719151E-003, -2.450563E-003,  7.314120E-004
  1.600000E-007,  1.147971E-002,  9.912200E-003,  1.567508E-003
  1.700000E-007,  6.013252E-003,  1.154535E-002, -5.532096E-003
  1.800000E-007,  1.820911E-003, -9.006989E-003,  1.082790E-002
  1.900000E-007, -7.613601E-003, -3.152420E-003, -4.461181E-003
  2.000000E-007, -2.334053E-003,  6.556207E-003, -8.890259E-003
  2.100000E-007, -1.049479E-002, -4.617238E-003, -5.877552E-003
  2.200000E-007,  6.388475E-003,  2.848856E-003,  3.539619E-003
  2.300000E-007, -1.261523E-002, -5.323212E-003, -7.292020E-003
  2.400000E-007, -1.315082E-003,  8.704374E-003, -1.001946E-002
  2.500000E-007,  9.630142E-003,  1.156276E-002, -1.932617E-003
  2.600000E-007,  2.176087E-004, -1.300456E-003,  1.518065E-003
  2.700000E-007, -8.129619E-003, -3.404204E-003, -4.725414E-003
  2.800000E-007,  5.950587E-003,  6.135695E-003, -1.851072E-004
  2.900000E-007,  8.845807E-004, -3.591864E-003,  4.476445E-003
  3.000000E-007, -1.576481E-002, -8.073671E-003, -7.691140E-003
  3.100000E-007, -1.420733E-003, -7.361447E-003,  5.940715E-003
  3.200000E-007,  1.398844E-002,  1.245013E-002,  1.538304E-003
  3.300000E-007, -9.857938E-005,  7.103344E-003, -7.201923E-003
  3.400000E-007,  1.867841E-003,  3.053289E-004,  1.562512E-003
  3.500000E-007,  1.101011E-004, -9.171538E-004,  1.027255E-003
  3.600000E-007, -1.520229E-003, -7.961889E-004, -7.240404E-004
  3.700000E-007, -1.457275E-002, -3.053323E-003, -1.151942E-002
  3.800000E-007,  1.884506E-003, -2.330846E-003,  4.215352E-003
  3.900000E-007,  1.186140E-002,  9.531899E-003,  2.329505E-003
  4.000000E-007, -1.252418E-002, -1.587994E-002,  3.355763E-003
  4.100000E-007, -1.782550E-002, -1.272040E-002, -5.105106E-003
  4.200000E-007, -1.521085E-003,  4.570030E-003, -6.091115E-003
  4.300000E-007, -5.567060E-003, -9.645039E-003,  4.077979E-003
  4.400000E-007,  2.240435E-003,  2.499729E-003, -2.592941E-004
  4.500000E-007, -7.073726E-003,  1.519334E-003, -8.593060E-003
  4.600000E-007, -3.376915E-003,  3.991529E-003, -7.368444E-003
  4.700000E-007,  1.188698E-003,  4.001329E-003, -2.812631E-003
  4.800000E-007, -9.632082E-003, -8.579030E-003, -1.053052E-003
  4.900000E-007, -5.093185E-003, -1.357564E-002,  8.482454E-003
  5.000000E-007,  5.803576E-003,  1.200321E-002, -6.199632E-003
  5.100000E-007,  1.928155E-003,  8.367129E-004,  1.091442E-003
  5.200000E-007, -9.024594E-003, -6.868730E-003, -2.155864E-003
  5.300000E-007, -9.940715E-003, -8.008641E-003, -1.932074E-003
  5.400000E-007, -2.630579E-002, -2.071449E-002, -5.591299E-003
  5.500000E-007, -2.026005E-002, -1.162547E-002, -8.634582E-003
  5.600000E-007,  6.461444E-003,  7.727069E-003, -1.265625E-003
  5.700000E-007, -2.222078E-003,  8.674200E-004, -3.089498E-003
  5.800000E-007,  9.909788E-003,  8.499795E-003,  1.409993E-003
  5.900000E-007, -2.083018E-003,  2.434970E-003, -4.517988E-003
  6.000000E-007,  8.463544E-003,  1.286286E-002, -4.399314E-003
  6.100000E-007, -5.628840E-003, -3.017252E-003, -2.611588E-003
  6.200000E-007, -1.489986E-003,  1.827821E-003, -3.317807E-003
  6.300000E-007, -2.646823E-004,  1.281923E-003, -1.546605E-003
  6.400000E-007, -6.126806E-003, -1.021969E-002,  4.092881E-003
  6.500000E-007,  5.242483E-003,  1.098442E-002, -5.741936E-003
  6.600000E-007,  1.469136E-002,  1.349714E-002,  1.194220E-003
  6.700000E-007, -8.393528E-003, -1.124314E-002,  2.849615E-003
  6.800000E-007, -3.255043E-003, -3.208481E-003, -4.656177E-005
  6.900000E-007,  1.505509E-002,  9.814981E-003,  5.240113E-003
  7.000000E-007,  1.581386E-002,  7.862456E-003,  7.951400E-003
  7.100000E-007, -1.912652E-002, -1.380616E-002, -5.320361E-003
  7.200000E-007,  7.951275E-003,  4.924937E-003,  3.026339E-003
  7.300000E-007, -9.391450E-003,  4.875529E-004, -9.879003E-003
  7.400000E-007, -7.565898E-004, -3.111496E-003,  2.354906E-003
  7.500000E-007,  1.030224E-002,  1.459395E-002, -4.291711E-003
  7.600000E-007, -2.695426E-003,  4.912148E-003, -7.607574E-003
  7.700000E-007, -1.036518E-003,  1.015889E-003, -2.052407E-003
  7.800000E-007,  9.148664E-003,  8.613766E-003,  5.348984E-004
  7.900000E-007, -4.961629E-003, -1.608076E-002,  1.111913E-002
  8.000000E-007, -2.272425E-003,  2.736090E-003, -5.008515E-003
  8.100000E-007, -1.834597E-002, -1.357731E-002, -4.768656E-003
  8.200000E-007, -2.085165E-002, -2.060014E-002, -2.515104E-004
  8.300000E-007,  5.771755E-004,  1.224418E-003, -6.472427E-004
  8.400000E-007,  1.099896E-003,  3.364769E-003, -2.264874E-003
  8.500000E-007, -3.406391E-003, -5.307846E-003,  1.901455E-003
  8.600000E-007,  1.754140E-002,  1.250304E-002,  5.038366E-003
  8.700000E-007, -1.677858E-003,  5.939578E-003, -7.617436E-003
  8.800000E-007,  8.328148E-003,  6.669805E-003,  1.658343E-003
  8.900000E-007, -1.359280E-002, -3.348924E-003, -1.024387E-002
  9.000000E-007, -7.117913E-003, -5.664262E-003, -1.453650E-003
  9.100000E-007,  5.817403E-003,  7.321815E-003, -1.504412E-003
  9.200000E-007,  1.444721E-002,  1.344017E-002,  1.007036E-003
  9.300000E-007,  1.709240E-002,  1.746399E-002, -3.715856E-004
  9.400000E-007,  2.473463E-003, -3.987900E-003,  6.461362E-003
  9.500000E-007, -6.836088E-003, -7.206806E-003,  3.707175E-004
  9.600000E-007,  6.935099E-003,  2.598729E-003,  4.336371E-003
  9.700000E-007,  6.463520E-003, -1.835681E-003,  8.299201E-003
  9.800000E-007,  4.107958E-003, -1.341740E-003,  5.449698E-003
  9.900000E-007,  1.891575E-003,  1.023327E-002, -8.341692E-003
  1.000000E-006, -1.131255E-002, -8.830935E-003, -2.481613E-003
  1.010000E-006,  1.535030E-002,  7.912208E-003,  7.438091E-003
  1.020000E-006, -8.143934E-003, -3.507389E-003, -4.636545E-003
  1.030000E-006,  7.042260E-003,  9.764484E-003, -2.722224E-003
  1.040000E-006,  1.183457E-003,  9.067488E-003, -7.884031E-003
  1.050000E-006,  4.761536E-003,  7.125352E-003, -2.363816E-003
  1.060000E-006,  2.860905E-003, -1.400285E-003,  4.261191E-003
  1.070000E-006,  2.211224E-002,  1.428281E-002,  7.829426E-003
  1.080000E-006, -2.177080E-004,  1.857279E-003, -2.074987E-003
  1.090000E-006, -4.694424E-003, -3.690202E-004, -4.325403E-003
  1.100000E-006,  5.083452E-004, -2.169233E-003,  2.677578E-003
  1.110000E-006, -3.836279E-003, -4.681925E-003,  8.456460E-004
  1.120000E-006,  1.217821E-002,  7.926510E-003,  4.251700E-003
  1.130000E-006, -1.788713E-002, -5.197854E-003, -1.268927E-002
  1.140000E-006,  7.858685E-003,  3.390602E-003,  4.468083E-003
  1.150000E-006, -1.018127E-002, -1.212683E-002,  1.945558E-003
