time[s],n_alive,weight_sum,CL_Q_cx[W/m3],CL_Q_el[W/m3],CL_Q_ei[W/m3],CL_Q_total[W/m3],TL_Q_cx[W/m3],TL_Q_el[W/m3],TL_Q_ei[W/m3],TL_Q_total[W/m3]
  1.000000E-08,    3742,  3.551411E+03, -5.222152E+12, -2.099726E+12,  1.230079E+13,  4.978913E+12, -3.561593E+12, -3.206636E+12,  1.190949E+13,  5.141257E+12
  2.000000E-08,    3484,  3.138141E+03, -3.388033E+12, -1.876434E+12,  1.093783E+13,  5.673359E+12, -3.723913E+12, -3.198202E+12,  1.055950E+13,  3.637383E+12
  3.000000E-08,    3301,  2.821870E+03, -7.570457E+10, -2.197103E+12,  9.481761E+12,  7.208954E+12, -8.966662E+11, -2.218630E+12,  9.451029E+12,  6.335733E+12
  4.000000E-08,    3128,  2.537788E+03, -1.084761E+12,  1.312504E+12,  8.634668E+12,  8.862412E+12, -2.380238E+12, -2.799478E+12,  8.390237E+12,  3.210520E+12
  5.000000E-08,    2996,  2.306894E+03, -1.248521E+12, -1.172771E+12,  7.455805E+12,  5.034513E+12, -7.458188E+11, -1.889536E+12,  7.532050E+12,  4.896695E+12
  6.000000E-08,    2863,  2.092206E+03, -6.022076E+11, -6.127207E+11,  6.881687E+12,  5.666759E+12, -6.171659E+11, -3.550993E+11,  6.879417E+12,  5.907152E+12
  7.000000E-08,    2751,  1.907967E+03,  5.359817E+09, -3.421310E+12,  6.342985E+12,  2.927035E+12,  8.828457E+11,  7.352481E+11,  6.366057E+12,  7.984151E+12
  8.000000E-08,    2654,  1.746941E+03, -2.581279E+11, -6.846516E+11,  6.033376E+12,  5.090596E+12, -1.399766E+11, -7.739183E+11,  5.807424E+12,  4.893529E+12
  9.000000E-08,    2574,  1.607989E+03,  7.952040E+11, -1.178371E+11,  5.396093E+12,  6.073460E+12, -9.166281E+11,  2.867504E+10,  5.287993E+12,  4.400040E+12
  1.000000E-07,    2493,  1.478067E+03, -4.165710E+11, -8.657549E+10,  4.916849E+12,  4.413703E+12, -9.019609E+11, -1.353084E+12,  4.779253E+12,  2.524209E+12
  1.100000E-07,    2435,  1.370149E+03,  7.787796E+09, -7.415668E+11,  4.390377E+12,  3.656598E+12, -3.166875E+11, -1.187654E+11,  4.403622E+12,  3.968169E+12
  1.200000E-07,    2371,  1.266186E+03, -4.898148E+11, -1.735759E+11,  4.007082E+12,  3.343691E+12, -1.525349E+12, -3.363992E+11,  4.026707E+12,  2.164958E+12
  1.300000E-07,    2291,  1.161150E+03, -2.050219E+12,  1.078658E+11,  3.841311E+12,  1.898958E+12, -2.540967E+11,  2.074535E+11,  3.729860E+12,  3.683217E+12
  1.400000E-07,    2242,  1.078440E+03, -4.922312E+11, -9.420686E+11,  3.556569E+12,  2.122269E+12,  3.425313E+11, -5.733401E+11,  3.501725E+12,  3.270917E+12
  1.500000E-07,    2184,  9.970345E+02,  1.591483E+12,  4.096429E+11,  3.274606E+12,  5.275732E+12, -4.085153E+10, -1.705910E+11,  3.235307E+12,  3.023864E+12
  1.600000E-07,    2126,  9.211237E+02,  4.548913E+11, -4.854922E+11,  2.780617E+12,  2.750016E+12, -6.075806E+11, -6.132183E+11,  2.891075E+12,  1.670276E+12
  1.700000E-07,    2087,  8.581720E+02, -1.296860E+12, -4.582541E+11,  2.618191E+12,  8.630770E+11, -8.054242E+11, -7.982016E+11,  2.697560E+12,  1.093934E+12
  1.800000E-07,    2041,  7.965115E+02,  1.623867E+11, -3.359610E+11,  2.472934E+12,  2.299359E+12, -1.036166E+11, -2.298219E+11,  2.505205E+12,  2.171767E+12
  1.900000E-07,    2003,  7.418689E+02, -3.665451E+11, -3.047655E+11,  2.430130E+12,  1.758819E+12, -2.110800E+11, -2.615830E+11,  2.381758E+12,  1.909095E+12
  2.000000E-07,    1969,  6.921323E+02, -5.369754E+11,  6.681141E+10,  2.166700E+12,  1.696536E+12,  7.251062E+10,  6.362466E+10,  2.213675E+12,  2.349810E+12
  2.100000E-07,    1934,  6.452040E+02, -8.670302E+11, -4.741407E+10,  2.004308E+12,  1.089863E+12, -1.314056E+10,  9.455998E+09,  2.069761E+12,  2.066077E+12
  2.200000E-07,    1904,  6.028436E+02, -7.436422E+11, -9.979932E+11,  1.863661E+12,  1.220258E+11,  3.501598E+11,  6.415962E+11,  2.014556E+12,  3.006312E+12
  2.300000E-07,    1855,  5.574152E+02, -1.376952E+11,  4.984996E+11,  1.940493E+12,  2.301297E+12,  3.067005E+11,  1.799929E+11,  1.895799E+12,  2.382493E+12
  2.400000E-07,    1830,  5.218950E+02, -3.102447E+11, -4.500084E+11,  1.751453E+12,  9.912002E+11,  3.154324E+11,  5.256510E+11,  1.748258E+12,  2.589341E+12
  2.500000E-07,    1793,  4.852992E+02,  3.358916E+11, -1.794941E+11,  1.734420E+12,  1.890818E+12,  4.249971E+11, -5.792909E+10,  1.638518E+12,  2.005586E+12
  2.600000E-07,    1760,  4.521048E+02,  4.582482E+11, -3.986364E+10,  1.522982E+12,  1.941367E+12,  2.925776E+11,  7.105166E+11,  1.494538E+12,  2.497633E+12
  2.700000E-07,    1743,  4.249335E+02, -3.537707E+11,  2.800959E+11,  1.410742E+12,  1.337067E+12,  1.032124E+11,  2.091807E+11,  1.382521E+12,  1.694914E+12
  2.800000E-07,    1721,  3.982003E+02, -1.918321E+11, -1.299658E+11,  1.345656E+12,  1.023858E+12,  2.253441E+11,  4.948419E+10,  1.315457E+12,  1.590285E+12
  2.900000E-07,    1703,  3.739664E+02,  5.838212E+11,  8.158735E+10,  1.286746E+12,  1.952155E+12,  7.748363E+10,  6.841232E+10,  1.207165E+12,  1.353061E+12
  3.000000E-07,    1672,  3.484587E+02,  2.948697E+11,  2.621240E+11,  1.148345E+12,  1.705339E+12, -1.822447E+11, -8.342865E+10,  1.095305E+12,  8.296315E+11
  3.100000E-07,    1644,  3.251727E+02, -1.863753E+11, -6.178002E+11,  9.815435E+11,  1.773680E+11, -3.386942E+11, -1.468365E+11,  1.026334E+12,  5.408035E+11
  3.200000E-07,    1618,  3.037302E+02, -5.230334E+10,  2.680579E+11,  9.676540E+11,  1.183409E+12, -3.856191E+10,  1.917239E+10,  9.664256E+11,  9.470361E+11
  3.300000E-07,    1587,  2.827376E+02, -5.852503E+11,  1.818802E+11,  8.938221E+11,  4.904519E+11, -1.377737E+11, -2.348087E+11,  9.012287E+11,  5.286463E+11
  3.400000E-07,    1570,  2.654626E+02, -5.015279E+11, -3.192925E+10,  8.317033E+11,  2.982461E+11, -2.401763E+11,  8.346435E+10,  8.535920E+11,  6.968800E+11
  3.500000E-07,    1548,  2.484116E+02, -2.091322E+11,  1.364503E+11,  8.198310E+11,  7.471491E+11, -1.273163E+11,  1.440265E+11,  8.094893E+11,  8.261996E+11
  3.600000E-07,    1539,  2.343887E+02,  1.737453E+11,  1.378081E+11,  7.473983E+11,  1.058952E+12, -1.276569E+11, -1.914199E+11,  7.581053E+11,  4.390284E+11
  3.700000E-07,    1523,  2.201381E+02, -1.580866E+11,  2.454856E+11,  7.321296E+11,  8.195286E+11,  1.495266E+10,  8.489445E+10,  7.026734E+11,  8.025205E+11
  3.800000E-07,    1505,  2.064567E+02, -5.299557E+09, -1.884467E+11,  6.616231E+11,  4.678768E+11,  9.249789E+10,  8.497723E+10,  6.691062E+11,  8.465814E+11
  3.900000E-07,    1488,  1.937281E+02,  1.160245E+11,  4.923407E+10,  6.418028E+11,  8.070613E+11, -4.359811E+10, -1.800969E+11,  6.156400E+11,  3.919449E+11
  4.000000E-07,    1468,  1.813898E+02, -1.211499E+11,  7.353458E+10,  5.410219E+11,  4.934067E+11, -4.122795E+10,  6.855845E+10,  5.682223E+11,  5.955528E+11
  4.100000E-07,    1454,  1.705094E+02, -1.333070E+11, -7.520070E+10,  5.223697E+11,  3.138619E+11, -3.935745E+10, -1.957518E+11,  5.373181E+11,  3.022088E+11
  4.200000E-07,    1435,  1.597103E+02,  9.780326E+10, -1.617378E+11,  4.930572E+11,  4.291226E+11, -1.521722E+11, -3.217168E+11,  5.026874E+11,  2.879836E+10
  4.300000E-07,    1417,  1.496746E+02, -5.247933E+10, -2.455052E+11,  4.817764E+11,  1.837919E+11, -3.934591E+10, -5.906875E+10,  4.851388E+11,  3.867241E+11
  4.400000E-07,    1410,  1.413496E+02, -6.573279E+10, -1.045999E+11,  4.293727E+11,  2.590400E+11, -3.031029E+09,  4.716844E+10,  4.646499E+11,  5.087873E+11
  4.500000E-07,    1392,  1.324378E+02,  1.091153E+11,  4.647800E+10,  4.118047E+11,  5.673980E+11,  1.192861E+10,  3.981601E+09,  4.321925E+11,  4.481027E+11
  4.600000E-07,    1381,  1.246991E+02,  1.557477E+11, -1.717271E+11,  4.123376E+11,  3.963582E+11, -8.506822E+10, -1.730944E+11,  4.037182E+11,  1.455556E+11
  4.700000E-07,    1368,  1.172339E+02, -9.490064E+10,  9.025596E+10,  3.635288E+11,  3.588841E+11,  1.889741E+10, -5.610947E+10,  3.778339E+11,  3.406219E+11
  4.800000E-07,    1351,  1.098802E+02,  1.352241E+11, -5.384109E+10,  3.624460E+11,  4.438290E+11,  1.966609E+10,  6.878423E+10,  3.570749E+11,  4.455252E+11
  4.900000E-07,    1338,  1.032803E+02, -1.117719E+10,  7.602813E+10,  3.108469E+11,  3.756979E+11, -4.921536E+09,  4.295084E+09,  3.291797E+11,  3.285532E+11
  5.000000E-07,    1327,  9.721413E+01, -1.547658E+11, -2.251165E+10,  3.006946E+11,  1.234171E+11, -4.361789E+10, -9.165831E+10,  3.106890E+11,  1.754128E+11
  5.100000E-07,    1306,  9.080272E+01, -1.081622E+11, -1.302526E+10,  3.091387E+11,  1.879512E+11,  3.939585E+10,  1.990200E+10,  3.008751E+11,  3.601730E+11
  5.200000E-07,    1289,  8.505615E+01, -7.115728E+10, -7.616382E+10,  2.792967E+11,  1.319756E+11, -4.199962E+09, -1.091250E+10,  2.849887E+11,  2.698762E+11
  5.300000E-07,    1277,  7.997254E+01,  2.802455E+10,  1.256076E+10,  2.619691E+11,  3.025544E+11,  1.855853E+10,  8.200310E+10,  2.692051E+11,  3.697667E+11
