x_center[m],CL_Power_CX[W/ptcl],CL_Power_EL[W/ptcl],CL_Power_EI[W/ptcl],CL_Power_Total[W/ptcl],TL_Power_CX[W/ptcl],TL_Power_EL[W/ptcl],TL_Power_EI[W/ptcl],TL_Power_Total[W/ptcl]
  5.000000E-04,  2.538622E-16,  7.228657E-16,  0.000000E+00,  9.767278E-16,  1.886974E-16,  1.413828E-15,  0.000000E+00,  1.602526E-15
  1.500000E-03,  5.272474E-17,  4.683249E-16,  0.000000E+00,  5.210497E-16, -1.342200E-16,  8.203673E-16,  0.000000E+00,  6.861473E-16
  2.500000E-03, -1.011489E-16,  3.468363E-16,  0.000000E+00,  2.456875E-16, -2.320700E-16,  6.506918E-16,  0.000000E+00,  4.186219E-16
  3.500000E-03, -4.145436E-17,  2.629060E-16,  0.000000E+00,  2.214517E-16, -2.841673E-16,  5.481780E-16,  0.000000E+00,  2.640107E-16
  4.500000E-03, -1.037859E-16,  1.769865E-16,  0.000000E+00,  7.320063E-17, -2.610977E-16,  5.870387E-16,  0.000000E+00,  3.259410E-16
  5.500000E-03, -1.980044E-16,  2.533354E-16,  0.000000E+00,  5.533105E-17, -2.802173E-16,  5.154281E-16,  0.000000E+00,  2.352107E-16
  6.500000E-03, -1.171588E-16,  7.745808E-17,  0.000000E+00, -3.970075E-17, -3.536611E-16,  3.306619E-16,  0.000000E+00, -2.299926E-17
  7.500000E-03, -5.936312E-17,  7.730407E-17,  0.000000E+00,  1.794095E-17, -3.482138E-16,  3.497655E-16,  0.000000E+00,  1.551720E-18
  8.500000E-03, -1.304582E-16,  1.676416E-16,  0.000000E+00,  3.718340E-17, -3.514674E-16,  2.846733E-16,  0.000000E+00, -6.679409E-17
  9.500000E-03, -1.021781E-16, -2.429130E-17,  0.000000E+00, -1.264694E-16, -3.415173E-16,  2.487735E-16,  0.000000E+00, -9.274383E-17
  1.050000E-02, -9.395425E-17,  2.345558E-16,  0.000000E+00,  1.406015E-16, -3.379852E-16,  2.174952E-16,  0.000000E+00, -1.204900E-16
  1.150000E-02, -2.124001E-16,  8.494998E-17,  0.000000E+00, -1.274501E-16, -3.067114E-16,  2.724188E-16,  0.000000E+00, -3.429267E-17
  1.250000E-02, -1.253100E-16,  1.143370E-16,  0.000000E+00, -1.097297E-17, -2.982905E-16,  2.482386E-16,  0.000000E+00, -5.005195E-17
  1.350000E-02, -6.429707E-17,  2.317429E-16,  0.000000E+00,  1.674459E-16, -2.267794E-16,  3.969356E-16,  0.000000E+00,  1.701562E-16
  1.450000E-02, -1.452342E-16,  1.375070E-16,  0.000000E+00, -7.727227E-18, -1.979383E-16,  4.415842E-16,  0.000000E+00,  2.436459E-16
  1.550000E-02, -1.233337E-16,  7.403652E-17,  0.000000E+00, -4.929718E-17, -3.268567E-16,  1.028168E-16,  0.000000E+00, -2.240399E-16
  1.650000E-02, -1.381230E-16,  1.165985E-16,  0.000000E+00, -2.152452E-17, -2.775565E-16,  2.017360E-16,  0.000000E+00, -7.582049E-17
  1.750000E-02, -1.056302E-16,  9.809221E-17,  0.000000E+00, -7.537958E-18, -2.618282E-16,  1.851419E-16,  0.000000E+00, -7.668630E-17
  1.850000E-02, -5.149205E-17,  5.403309E-17,  0.000000E+00,  2.541047E-18, -2.306713E-16,  2.204015E-16,  0.000000E+00, -1.026976E-17
  1.950000E-02, -8.553875E-17,  7.958422E-17,  0.000000E+00, -5.954523E-18, -2.035064E-16,  2.957154E-16,  0.000000E+00,  9.220909E-17
  2.050000E-02, -1.277913E-16,  1.821408E-16,  0.000000E+00,  5.434954E-17, -2.332054E-16,  1.989421E-16,  0.000000E+00, -3.426329E-17
  2.150000E-02, -9.564611E-17,  1.221744E-16,  0.000000E+00,  2.652832E-17, -2.296383E-16,  1.758986E-16,  0.000000E+00, -5.373972E-17
  2.250000E-02, -4.607934E-17,  1.057926E-17,  0.000000E+00, -3.550008E-17, -1.838235E-16,  2.565725E-16,  0.000000E+00,  7.274897E-17
  2.350000E-02, -6.450284E-17,  1.115332E-16,  0.000000E+00,  4.703033E-17, -2.340547E-16,  1.220305E-16,  0.000000E+00, -1.120242E-16
  2.450000E-02, -1.314082E-16,  5.547090E-17,  0.000000E+00, -7.593727E-17, -2.568622E-16,  2.616737E-17,  0.000000E+00, -2.306949E-16
  2.550000E-02, -5.753652E-17,  1.054456E-16,  0.000000E+00,  4.790910E-17, -2.302461E-16,  6.617471E-17,  0.000000E+00, -1.640713E-16
  2.650000E-02, -2.873553E-17,  2.422082E-17,  0.000000E+00, -4.514716E-18, -2.008924E-16,  1.432704E-16,  0.000000E+00, -5.762203E-17
  2.750000E-02, -2.028275E-17,  6.387809E-17,  0.000000E+00,  4.359535E-17, -1.876727E-16,  1.815234E-16,  0.000000E+00, -6.149352E-18
  2.850000E-02, -8.572045E-17,  3.019665E-17,  0.000000E+00, -5.552379E-17, -2.122844E-16,  7.980860E-17,  0.000000E+00, -1.324758E-16
  2.950000E-02, -4.944394E-17, -2.251913E-17,  0.000000E+00, -7.196307E-17, -1.844480E-16,  1.113152E-16,  0.000000E+00, -7.313283E-17
  3.050000E-02, -1.128701E-17,  2.666032E-17,  0.000000E+00,  1.537331E-17, -1.407402E-16,  1.785337E-16,  0.000000E+00,  3.779356E-17
  3.150000E-02, -1.153480E-16,  1.046997E-16,  0.000000E+00, -1.064826E-17, -1.653210E-16,  1.074958E-16,  0.000000E+00, -5.782520E-17
  3.250000E-02, -3.360222E-17,  7.002666E-17,  0.000000E+00,  3.642443E-17, -1.317974E-16,  1.676945E-16,  0.000000E+00,  3.589712E-17
  3.350000E-02, -8.186644E-17,  5.906089E-17,  0.000000E+00, -2.280555E-17, -1.373388E-16,  1.332929E-16,  0.000000E+00, -4.045962E-18
  3.450000E-02, -4.392639E-17,  2.034714E-17,  0.000000E+00, -2.357924E-17, -1.537852E-16,  6.590613E-17,  0.000000E+00, -8.787910E-17
  3.550000E-02, -3.806118E-17,  3.461969E-17,  0.000000E+00, -3.441494E-18, -1.400574E-16,  8.620455E-17,  0.000000E+00, -5.385282E-17
  3.650000E-02, -4.339589E-17,  1.218763E-16,  0.000000E+00,  7.848045E-17, -1.257213E-16,  9.830949E-17,  0.000000E+00, -2.741180E-17
  3.750000E-02, -7.237809E-17,  8.624374E-18,  0.000000E+00, -6.375372E-17, -1.046657E-16,  1.278066E-16,  0.000000E+00,  2.314083E-17
  3.850000E-02, -2.480982E-17,  7.778663E-17,  0.000000E+00,  5.297681E-17, -9.418013E-17,  1.496458E-16,  0.000000E+00,  5.546567E-17
  3.950000E-02, -1.167919E-16,  9.855749E-17,  0.000000E+00, -1.823445E-17, -9.284640E-17,  1.364304E-16,  0.000000E+00,  4.358397E-17
  4.050000E-02, -4.553648E-17,  4.497084E-17,  0.000000E+00, -5.656338E-19, -9.964749E-17,  8.089225E-17,  0.000000E+00, -1.875524E-17
  4.150000E-02, -6.621625E-17,  6.221154E-17,  0.000000E+00, -4.004708E-18, -9.977878E-17,  4.140370E-17,  0.000000E+00, -5.837508E-17
  4.250000E-02, -8.242229E-17,  5.471769E-17,  0.000000E+00, -2.770460E-17, -1.146509E-16,  1.327558E-17,  0.000000E+00, -1.013753E-16
  4.350000E-02, -4.812364E-17,  4.108452E-18,  0.000000E+00, -4.401519E-17, -8.859773E-17,  6.457061E-17,  0.000000E+00, -2.402711E-17
  4.450000E-02,  1.396811E-17,  8.369604E-18,  0.000000E+00,  2.233771E-17, -7.894067E-17,  8.419960E-17,  0.000000E+00,  5.258927E-18
  4.550000E-02, -8.757478E-17,  4.193387E-17,  0.000000E+00, -4.564091E-17, -1.066249E-16,  1.208633E-17,  0.000000E+00, -9.453858E-17
  4.650000E-02, -2.547513E-17,  7.005251E-17,  0.000000E+00,  4.457738E-17, -8.895680E-17,  2.420599E-17,  0.000000E+00, -6.475081E-17
  4.750000E-02, -3.515275E-17,  3.889116E-17,  0.000000E+00,  3.738406E-18, -5.446679E-17,  1.100444E-16,  0.000000E+00,  5.557760E-17
