# Collision Energy Transfer Histogram
# E_neutral =     1.00 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =       2.5118 eV, EL weighted mean =       0.7240 eV
# bin_center[eV]  CX_freq[s^-1/eV]  EL_freq[s^-1/eV]
 -2.160938E+00    0.000000E+00    0.000000E+00
 -1.790386E+00    0.000000E+00    0.000000E+00
 -1.419833E+00    0.000000E+00    0.000000E+00
 -1.049280E+00    2.676971E+05    3.497743E+05
 -6.787275E-01    1.521961E+06    2.213105E+06
 -3.081748E-01    1.959003E+06    4.485203E+06
  6.237791E-02    2.218087E+06    4.898780E+07
  4.329306E-01    2.264927E+06    3.692043E+06
  8.034833E-01    2.253089E+06    2.535131E+06
  1.174036E+00    2.137748E+06    2.065590E+06
  1.544589E+00    2.029501E+06    1.733826E+06
  1.915141E+00    1.851846E+06    1.568500E+06
  2.285694E+00    1.701489E+06    1.309109E+06
  2.656247E+00    1.595094E+06    1.139605E+06
  3.026800E+00    1.409714E+06    9.904744E+05
  3.397352E+00    1.234542E+06    8.903416E+05
  3.767905E+00    1.069798E+06    7.953960E+05
  4.138458E+00    1.003958E+06    6.644276E+05
  4.509010E+00    8.344869E+05    5.733848E+05
  4.879563E+00    7.593411E+05    5.259414E+05
  5.250116E+00    6.487749E+05    4.528559E+05
  5.620668E+00    5.584707E+05    3.768784E+05
  5.991221E+00    5.189164E+05    3.427914E+05
  6.361774E+00    4.117377E+05    2.768379E+05
  6.732327E+00    3.503348E+05    2.281020E+05
  7.102879E+00    3.129316E+05    2.131494E+05
  7.473432E+00    2.905746E+05    2.034726E+05
  7.843985E+00    2.405879E+05    1.896336E+05
  8.214537E+00    1.999802E+05    1.509213E+05
  8.585090E+00    1.734682E+05    1.111479E+05
  8.955643E+00    1.481484E+05    1.092227E+05
  9.326196E+00    1.120041E+05    9.405632E+04
  9.696748E+00    1.092331E+05    7.410935E+04
  1.006730E+01    9.951461E+04    7.046614E+04
  1.043785E+01    7.799568E+04    6.047707E+04
  1.080841E+01    6.825782E+04    5.288796E+04
  1.117896E+01    6.018650E+04    3.841283E+04
  1.154951E+01    4.475421E+04    3.426022E+04
  1.192006E+01    3.700115E+04    3.788604E+04
  1.229062E+01    3.767240E+04    2.561135E+04
  1.266117E+01    2.853093E+04    2.242859E+04
  1.303172E+01    2.421996E+04    1.801264E+04
  1.340228E+01    2.151470E+04    9.377110E+03
  1.377283E+01    2.097287E+04    1.719137E+04
  1.414338E+01    1.325083E+04    9.451827E+03
  1.451393E+01    9.828552E+03    6.898108E+03
  1.488449E+01    1.068397E+04    2.907439E+03
  1.525504E+01    5.940947E+03    2.737234E+03
  1.562559E+01    8.067903E+03    3.911071E+03
  1.599614E+01    9.654364E+03    8.452618E+03
  1.636670E+01    4.289590E+03    1.208326E+03
  1.673725E+01    3.284902E+03    3.857246E+03
  1.710780E+01    2.929004E+03    0.000000E+00
  1.747836E+01    3.146814E+03    2.799670E+03
  1.784891E+01    5.375348E+03    0.000000E+00
  1.821946E+01    2.313897E+03    2.935617E+03
  1.859001E+01    1.155036E+03    1.369629E+03
  1.896057E+01    2.518305E+03    2.811997E+03
  1.933112E+01    5.044894E+02    0.000000E+00
  1.970167E+01    3.036043E+03    4.467954E+03
  2.007222E+01    1.137436E+03    0.000000E+00
  2.044278E+01    0.000000E+00    0.000000E+00
  2.081333E+01    0.000000E+00    0.000000E+00
  2.118388E+01    6.629560E+02    0.000000E+00
  2.155443E+01    6.711534E+02    0.000000E+00
  2.192499E+01    1.365031E+03    0.000000E+00
  2.229554E+01    5.607610E+02    0.000000E+00
  2.266609E+01    1.185921E+03    0.000000E+00
  2.303665E+01    0.000000E+00    0.000000E+00
  2.340720E+01    0.000000E+00    0.000000E+00
  2.377775E+01    0.000000E+00    0.000000E+00
  2.414830E+01    0.000000E+00    0.000000E+00
  2.451886E+01    0.000000E+00    0.000000E+00
  2.488941E+01    0.000000E+00    1.730314E+03
  2.525996E+01    7.057113E+02    0.000000E+00
  2.563051E+01    0.000000E+00    0.000000E+00
  2.600107E+01    6.107884E+02    0.000000E+00
  2.637162E+01    0.000000E+00    0.000000E+00
  2.674217E+01    0.000000E+00    0.000000E+00
  2.711273E+01    0.000000E+00    0.000000E+00
