# Collision Energy Transfer Histogram
# E_neutral =    10.00 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =      -6.9033 eV, EL weighted mean =      -2.0661 eV
# bin_center[eV]  CX_freq[s^-1/eV]  EL_freq[s^-1/eV]
 -1.116094E+01    0.000000E+00    0.000000E+00
 -1.079039E+01    0.000000E+00    0.000000E+00
 -1.041983E+01    0.000000E+00    0.000000E+00
 -1.004928E+01    6.084713E+05    4.351857E+05
 -9.678727E+00    3.290312E+06    2.292903E+06
 -9.308175E+00    3.978030E+06    2.776969E+06
 -8.937622E+00    4.222926E+06    2.978241E+06
 -8.567069E+00    4.071973E+06    2.887367E+06
 -8.196517E+00    3.860130E+06    2.731564E+06
 -7.825964E+00    3.504176E+06    2.496532E+06
 -7.455411E+00    3.209926E+06    2.330022E+06
 -7.084859E+00    2.833031E+06    2.141540E+06
 -6.714306E+00    2.529991E+06    1.915795E+06
 -6.343753E+00    2.311691E+06    1.746134E+06
 -5.973200E+00    1.996957E+06    1.532753E+06
 -5.602648E+00    1.712297E+06    1.408107E+06
 -5.232095E+00    1.456928E+06    1.229672E+06
 -4.861542E+00    1.344902E+06    1.041380E+06
 -4.490990E+00    1.097564E+06    9.527970E+05
 -4.120437E+00    9.834815E+05    9.051049E+05
 -3.749884E+00    8.353571E+05    9.042151E+05
 -3.379332E+00    7.084307E+05    7.699075E+05
 -3.008779E+00    6.525407E+05    7.656964E+05
 -2.638226E+00    5.098323E+05    6.490685E+05
 -2.267673E+00    4.276511E+05    6.898253E+05
 -1.897121E+00    3.789114E+05    7.904599E+05
 -1.526568E+00    3.504460E+05    9.425147E+05
 -1.156015E+00    2.875082E+05    1.177137E+06
 -7.854626E-01    2.379612E+05    1.758526E+06
 -4.149099E-01    2.047650E+05    3.515085E+06
 -4.435718E-02    1.718159E+05    6.930042E+07
  3.261955E-01    1.302198E+05    4.173833E+06
  6.967482E-01    1.261029E+05    1.459816E+06
  1.067301E+00    1.163636E+05    8.113207E+05
  1.437854E+00    8.911690E+04    4.819077E+05
  1.808406E+00    7.699873E+04    3.141182E+05
  2.178959E+00    6.891040E+04    2.025109E+05
  2.549512E+00    5.058135E+04    1.100685E+05
  2.920064E+00    4.136037E+04    1.055673E+05
  3.290617E+00    4.193983E+04    9.267334E+04
  3.661170E+00    3.265003E+04    7.788839E+04
  4.031723E+00    2.740721E+04    4.853120E+04
  4.402275E+00    2.379842E+04    5.222344E+04
  4.772828E+00    2.251142E+04    3.201810E+04
  5.143381E+00    1.443466E+04    2.347811E+04
  5.513933E+00    1.112805E+04    2.223539E+04
  5.884486E+00    1.219071E+04    1.055728E+04
  6.255039E+00    6.374223E+03    9.723111E+03
  6.625592E+00    9.274079E+03    1.999265E+03
  6.996144E+00    1.101932E+04    1.294684E+04
  7.366697E+00    4.185027E+03    4.319528E+03
  7.737250E+00    3.469279E+03    7.006445E+03
  8.107802E+00    3.394851E+03    6.153009E+03
  8.478355E+00    2.796059E+03    3.274534E+03
  8.848908E+00    6.179207E+03    4.039981E+03
  9.219460E+00    2.485892E+03    1.371099E+03
  9.590013E+00    1.252471E+03    1.836456E+03
  9.960566E+00    2.994945E+03    1.937726E+03
  1.033112E+01    3.425274E+02    1.378318E+03
  1.070167E+01    3.389082E+03    4.982842E+03
  1.107222E+01    1.093697E+03    0.000000E+00
  1.144278E+01    0.000000E+00    0.000000E+00
  1.181333E+01    0.000000E+00    0.000000E+00
  1.218388E+01    7.957025E+02    0.000000E+00
  1.255443E+01    8.118656E+02    0.000000E+00
  1.292499E+01    1.662529E+03    0.000000E+00
  1.329554E+01    4.969353E+02    0.000000E+00
  1.366609E+01    1.119412E+03    0.000000E+00
  1.403665E+01    0.000000E+00    0.000000E+00
  1.440720E+01    0.000000E+00    0.000000E+00
  1.477775E+01    0.000000E+00    0.000000E+00
  1.514830E+01    0.000000E+00    0.000000E+00
  1.551886E+01    0.000000E+00    0.000000E+00
  1.588941E+01    0.000000E+00    2.110188E+03
  1.625996E+01    8.435409E+02    0.000000E+00
  1.663051E+01    0.000000E+00    0.000000E+00
  1.700107E+01    5.882653E+02    0.000000E+00
  1.737162E+01    0.000000E+00    0.000000E+00
  1.774217E+01    0.000000E+00    0.000000E+00
  1.811273E+01    0.000000E+00    0.000000E+00
