# Collision Energy Transfer Histogram
# E_neutral =     7.00 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =      -3.8571 eV, EL weighted mean =      -1.1410 eV
# bin_center[eV]  CX_freq[s^-1/eV]  EL_freq[s^-1/eV]
 -8.160938E+00    0.000000E+00    0.000000E+00
 -7.790386E+00    0.000000E+00    0.000000E+00
 -7.419833E+00    0.000000E+00    0.000000E+00
 -7.049280E+00    5.369632E+05    3.753510E+05
 -6.678727E+00    2.910888E+06    2.037519E+06
 -6.308175E+00    3.529977E+06    2.440876E+06
 -5.937622E+00    3.760082E+06    2.642367E+06
 -5.567069E+00    3.637707E+06    2.596349E+06
 -5.196517E+00    3.457469E+06    2.473098E+06
 -4.825964E+00    3.150418E+06    2.277746E+06
 -4.455411E+00    2.892013E+06    2.168876E+06
 -4.084859E+00    2.562089E+06    2.037634E+06
 -3.714306E+00    2.292756E+06    1.831699E+06
 -3.343753E+00    2.101207E+06    1.698774E+06
 -2.973200E+00    1.819966E+06    1.518230E+06
 -2.602648E+00    1.564845E+06    1.486573E+06
 -2.232095E+00    1.335591E+06    1.424803E+06
 -1.861542E+00    1.236579E+06    1.316324E+06
 -1.490990E+00    1.011168E+06    1.475821E+06
 -1.120437E+00    9.082011E+05    1.568503E+06
 -7.498842E-01    7.746566E+05    2.166123E+06
 -3.793315E-01    6.582974E+05    3.887584E+06
 -8.778816E-03    6.082475E+05    6.361192E+07
  3.617739E-01    4.762277E+05    3.471924E+06
  7.323266E-01    4.004450E+05    1.469284E+06
  1.102879E+00    3.557674E+05    9.246960E+05
  1.473432E+00    3.298458E+05    6.231639E+05
  1.843985E+00    2.712888E+05    4.440202E+05
  2.214537E+00    2.249914E+05    3.343350E+05
  2.585090E+00    1.940132E+05    2.274913E+05
  2.955643E+00    1.632679E+05    2.140727E+05
  3.326196E+00    1.239701E+05    1.747184E+05
  3.696748E+00    1.201459E+05    1.471528E+05
  4.067301E+00    1.108953E+05    1.046695E+05
  4.437854E+00    8.518802E+04    1.016655E+05
  4.808406E+00    7.382686E+04    7.488661E+04
  5.178959E+00    6.598997E+04    5.514328E+04
  5.549512E+00    4.851368E+04    4.815860E+04
  5.920064E+00    3.980251E+04    4.042815E+04
  6.290617E+00    4.036481E+04    4.427594E+04
  6.661170E+00    3.135526E+04    3.969604E+04
  7.031723E+00    2.635151E+04    2.972605E+04
  7.402275E+00    2.296294E+04    2.335769E+04
  7.772828E+00    2.186633E+04    2.179592E+04
  8.143381E+00    1.398431E+04    1.336516E+04
  8.513933E+00    1.071102E+04    7.837949E+03
  8.884486E+00    1.177011E+04    6.379760E+03
  9.255039E+00    6.200746E+03    3.488370E+03
  9.625592E+00    8.955329E+03    4.478718E+03
  9.996144E+00    1.060577E+04    6.256021E+03
  1.036670E+01    4.172436E+03    3.992819E+03
  1.073725E+01    3.376995E+03    4.005278E+03
  1.110780E+01    3.262279E+03    2.442292E+03
  1.147836E+01    2.832933E+03    0.000000E+00
  1.184891E+01    5.951109E+03    4.598091E+03
  1.221946E+01    2.421739E+03    3.633622E+03
  1.259001E+01    1.215712E+03    1.739650E+03
  1.296057E+01    2.874235E+03    1.827818E+03
  1.333112E+01    3.742500E+02    0.000000E+00
  1.370167E+01    3.283317E+03    4.791566E+03
  1.407222E+01    1.091143E+03    0.000000E+00
  1.444278E+01    0.000000E+00    0.000000E+00
  1.481333E+01    0.000000E+00    0.000000E+00
  1.518388E+01    7.635069E+02    0.000000E+00
  1.555443E+01    7.784171E+02    0.000000E+00
  1.592499E+01    1.593164E+03    0.000000E+00
  1.629554E+01    5.023888E+02    0.000000E+00
  1.666609E+01    1.126868E+03    0.000000E+00
  1.703665E+01    0.000000E+00    0.000000E+00
  1.740720E+01    0.000000E+00    0.000000E+00
  1.777775E+01    0.000000E+00    0.000000E+00
  1.814830E+01    0.000000E+00    0.000000E+00
  1.851886E+01    0.000000E+00    0.000000E+00
  1.888941E+01    0.000000E+00    2.037487E+03
  1.925996E+01    8.108490E+02    0.000000E+00
  1.963051E+01    0.000000E+00    0.000000E+00
  2.000107E+01    5.854649E+02    0.000000E+00
  2.037162E+01    0.000000E+00    0.000000E+00
  2.074217E+01    0.000000E+00    0.000000E+00
  2.111273E+01    0.000000E+00    0.000000E+00
