# Collision Energy Transfer Histogram
# E_neutral =     4.58 eV (FIXED), T_ion =     2.00 eV
# n_bg =  1.000E+21 m^-3
# CX weighted mean =      -1.2838 eV, EL weighted mean =      -0.3942 eV
# bin_center[eV]  CX_freq[s^-1]  EL_freq[s^-1]
 -5.739335E+00    0.000000E+00    0.000000E+00
 -5.368783E+00    0.000000E+00    0.000000E+00
 -4.998230E+00    0.000000E+00    0.000000E+00
 -4.627677E+00    8.012506E+09    1.210588E+10
 -4.257124E+00    4.387414E+10    6.529644E+10
 -3.886572E+00    5.386130E+10    8.016143E+10
 -3.516019E+00    5.812103E+10    8.918100E+10
 -3.145466E+00    5.694842E+10    8.878544E+10
 -2.774914E+00    5.465617E+10    8.634390E+10
 -2.404361E+00    5.050133E+10    8.289629E+10
 -2.033808E+00    4.672597E+10    8.173099E+10
 -1.663256E+00    4.193662E+10    8.342376E+10
 -1.292703E+00    3.781596E+10    8.464252E+10
 -9.221502E-01    3.504612E+10    8.938675E+10
 -5.515975E-01    3.060759E+10    1.136402E+11
 -1.810447E-01    2.656435E+10    1.405719E+12
  1.895080E-01    2.290289E+10    9.323253E+11
  5.600607E-01    2.137704E+10    8.948662E+10
  9.306134E-01    1.759897E+10    5.444695E+10
  1.301166E+00    1.592617E+10    4.050845E+10
  1.671719E+00    1.374938E+10    3.234019E+10
  2.042271E+00    1.174662E+10    2.354450E+10
  2.412824E+00    1.092848E+10    1.938782E+10
  2.783377E+00    8.590116E+09    1.535406E+10
  3.153930E+00    7.261842E+09    1.148828E+10
  3.524482E+00    6.474962E+09    1.123664E+10
  3.895035E+00    6.035750E+09    1.034947E+10
  4.265588E+00    5.009723E+09    7.982802E+09
  4.636140E+00    4.169093E+09    7.997518E+09
  5.006693E+00    3.606366E+09    4.676792E+09
  5.377246E+00    3.049870E+09    5.445336E+09
  5.747799E+00    2.326815E+09    4.360238E+09
  6.118351E+00    2.262889E+09    3.761706E+09
  6.488904E+00    2.106541E+09    2.974257E+09
  6.859457E+00    1.615960E+09    2.681959E+09
  7.230009E+00    1.406737E+09    2.494320E+09
  7.600562E+00    1.263180E+09    1.436567E+09
  7.971115E+00    9.298783E+08    1.724854E+09
  8.341667E+00    7.666684E+08    1.467538E+09
  8.712220E+00    7.768007E+08    1.346689E+09
  9.082773E+00    6.115342E+08    1.191679E+09
  9.453326E+00    5.120473E+08    6.086420E+08
  9.823878E+00    4.469118E+08    5.998687E+08
  1.019443E+01    4.281017E+08    6.887073E+08
  1.056498E+01    2.730097E+08    3.800086E+08
  1.093554E+01    2.102998E+08    2.683202E+08
  1.130609E+01    2.348603E+08    2.323815E+08
  1.167664E+01    1.219386E+08    6.421002E+07
  1.204719E+01    1.800225E+08    1.688972E+08
  1.241775E+01    2.107558E+08    2.233272E+08
  1.278830E+01    8.308362E+07    1.520198E+08
  1.315885E+01    6.638304E+07    1.882332E+08
  1.352941E+01    6.524164E+07    0.000000E+00
  1.389996E+01    5.602572E+07    4.718430E+07
  1.427051E+01    1.204408E+08    1.605472E+08
  1.464106E+01    4.876977E+07    0.000000E+00
  1.501162E+01    2.423672E+07    1.510473E+08
  1.538217E+01    5.927474E+07    6.415053E+07
  1.575272E+01    7.472882E+06    0.000000E+00
  1.612327E+01    6.697582E+07    1.728688E+08
  1.649383E+01    2.200443E+07    0.000000E+00
  1.686438E+01    0.000000E+00    0.000000E+00
  1.723493E+01    0.000000E+00    0.000000E+00
  1.760549E+01    1.603693E+07    0.000000E+00
  1.797604E+01    1.643861E+07    0.000000E+00
  1.834659E+01    3.388885E+07    0.000000E+00
  1.871714E+01    9.991865E+06    0.000000E+00
  1.908770E+01    2.318913E+07    0.000000E+00
  1.945825E+01    0.000000E+00    0.000000E+00
  1.982880E+01    0.000000E+00    0.000000E+00
  2.019935E+01    0.000000E+00    0.000000E+00
  2.056991E+01    0.000000E+00    0.000000E+00
  2.094046E+01    0.000000E+00    0.000000E+00
  2.131101E+01    0.000000E+00    7.224411E+07
  2.168156E+01    1.745151E+07    0.000000E+00
  2.205212E+01    0.000000E+00    0.000000E+00
  2.242267E+01    1.192525E+07    0.000000E+00
  2.279322E+01    0.000000E+00    0.000000E+00
  2.316378E+01    0.000000E+00    0.000000E+00
  2.353433E+01    0.000000E+00    0.000000E+00
