time[s], delta_E_total[W/m^3], delta_E_cx[W/m^3], delta_E_el[W/m^3]
  1.000000E-008,  2.306311E+007,  1.297481E+007,  1.008829E+007
  2.000000E-008,  1.660086E+007,  9.069654E+006,  7.531203E+006
  3.000000E-008,  1.535235E+007,  7.989365E+006,  7.362988E+006
  4.000000E-008,  6.905878E+006,  4.150041E+006,  2.755837E+006
  5.000000E-008,  1.071758E+007,  6.675136E+006,  4.042443E+006
  6.000000E-008,  3.479325E+006,  1.168439E+006,  2.310886E+006
  7.000000E-008,  7.000848E+006,  1.267913E+006,  5.732935E+006
  8.000000E-008,  6.400846E+006,  4.577528E+006,  1.823317E+006
  9.000000E-008,  6.440683E+006,  2.405049E+006,  4.035634E+006
  1.000000E-007,  5.105718E+006,  2.804115E+006,  2.301603E+006
  1.100000E-007,  1.503217E+006,  8.063832E+005,  6.968340E+005
  1.200000E-007,  1.550989E+006,  1.918447E+006, -3.674580E+005
  1.300000E-007,  4.576069E+004,  1.763550E+006, -1.717789E+006
  1.400000E-007, -2.007378E+006, -1.971425E+006, -3.595319E+004
  1.500000E-007, -7.126527E+006, -5.875592E+006, -1.250935E+006
  1.600000E-007, -2.270074E+006,  1.554926E+005, -2.425567E+006
  1.700000E-007, -3.570052E+006, -4.391466E+006,  8.214133E+005
  1.800000E-007, -2.241643E+005,  2.256529E+005, -4.498172E+005
  1.900000E-007, -1.185853E+006, -5.136073E+005, -6.722461E+005
  2.000000E-007, -6.230297E+006, -3.511796E+006, -2.718501E+006
  2.100000E-007, -4.184477E+006, -1.661876E+006, -2.522600E+006
  2.200000E-007, -1.835263E+006, -5.218177E+005, -1.313445E+006
  2.300000E-007, -3.664013E+006, -1.456657E+006, -2.207356E+006
  2.400000E-007,  2.141659E+006, -2.610554E+005,  2.402714E+006
  2.500000E-007,  1.179585E+006, -1.114313E+006,  2.293897E+006
  2.600000E-007,  2.004616E+006,  1.620837E+006,  3.837792E+005
  2.700000E-007,  3.300090E+005,  4.514281E+005, -1.214191E+005
  2.800000E-007,  1.570390E+006,  3.078141E+006, -1.507751E+006
  2.900000E-007, -1.815890E+006, -1.161222E+005, -1.699768E+006
  3.000000E-007,  7.530775E+004,  1.419014E+006, -1.343706E+006
  3.100000E-007, -7.574130E+006, -4.220870E+006, -3.353259E+006
  3.200000E-007,  3.160910E+006,  3.794404E+006, -6.334936E+005
  3.300000E-007,  6.829307E+005,  3.995158E+006, -3.312227E+006
  3.400000E-007, -3.034439E+006, -3.945996E+006,  9.115573E+005
  3.500000E-007, -4.401028E+005,  7.612686E+005, -1.201371E+006
  3.600000E-007, -4.771613E+006, -3.000088E+006, -1.771525E+006
  3.700000E-007, -7.977035E+006, -4.377253E+006, -3.599782E+006
  3.800000E-007,  9.179845E+005,  9.025481E+005,  1.543648E+004
  3.900000E-007, -3.028481E+006, -1.632871E+006, -1.395609E+006
  4.000000E-007,  8.616093E+005,  1.332576E+006, -4.709663E+005
  4.100000E-007, -1.851510E+006, -6.918378E+005, -1.159672E+006
  4.200000E-007, -1.469585E+006,  5.179837E+005, -1.987568E+006
  4.300000E-007, -9.981705E+005,  1.588644E+006, -2.586814E+006
  4.400000E-007, -3.459670E+006, -2.358136E+006, -1.101534E+006
  4.500000E-007, -3.420879E+006, -1.009684E+005, -3.319911E+006
  4.600000E-007, -1.428913E+006, -1.567711E+006,  1.387977E+005
  4.700000E-007, -9.936816E+004,  1.222997E+006, -1.322365E+006
  4.800000E-007, -5.871225E+006, -4.179388E+006, -1.691836E+006
  4.900000E-007, -4.444739E+005,  1.021284E+006, -1.465758E+006
  5.000000E-007,  1.058228E+006, -2.333570E+005,  1.291585E+006
  5.100000E-007, -3.077212E+006, -5.347007E+006,  2.269794E+006
  5.200000E-007, -2.390019E+006,  5.313090E+004, -2.443150E+006
  5.300000E-007, -2.719858E+006, -1.210166E+006, -1.509693E+006
  5.400000E-007, -1.256220E+006, -3.925964E+006,  2.669744E+006
  5.500000E-007,  1.910100E+006,  1.452647E+006,  4.574537E+005
  5.600000E-007, -3.892276E+005, -1.727046E+006,  1.337819E+006
  5.700000E-007,  6.387091E+006,  5.243028E+006,  1.144063E+006
  5.800000E-007,  2.389309E+006, -3.140457E+005,  2.703355E+006
  5.900000E-007, -7.270891E+006, -4.142066E+006, -3.128826E+006
  6.000000E-007,  4.127739E+006,  3.652836E+006,  4.749022E+005
  6.100000E-007,  3.107199E+006,  2.557855E+006,  5.493442E+005
  6.200000E-007, -2.566915E+006, -1.563643E+006, -1.003272E+006
  6.300000E-007,  9.423501E+005,  1.435460E+006, -4.931098E+005
  6.400000E-007, -6.410365E+006, -5.541021E+006, -8.693442E+005
